Canvas size: 438x422

bingo_001.png: source=bingo_001.png, original=396x394, canvas_pos=(21,28), standardized=438x422
bingo_002.png: source=bingo_002.png, original=373x396, canvas_pos=(32,26), standardized=438x422
bingo_003.png: source=bingo_003.png, original=438x396, canvas_pos=(0,26), standardized=438x422
bingo_004.png: source=bingo_004.png, original=361x396, canvas_pos=(38,26), standardized=438x422
bingo_005.png: source=bingo_005.png, original=331x399, canvas_pos=(53,23), standardized=438x422
bingo_006.png: source=bingo_006.png, original=392x368, canvas_pos=(23,54), standardized=438x422
bingo_007.png: source=bingo_007.png, original=421x383, canvas_pos=(8,39), standardized=438x422
bingo_008.png: source=bingo_008.png, original=363x378, canvas_pos=(37,44), standardized=438x422
bingo_009.png: source=bingo_009.png, original=391x380, canvas_pos=(23,42), standardized=438x422
bingo_010.png: source=bingo_010.png, original=394x394, canvas_pos=(22,28), standardized=438x422
bingo_011.png: source=bingo_011.png, original=398x385, canvas_pos=(20,37), standardized=438x422
bingo_012.png: source=bingo_012.png, original=390x396, canvas_pos=(24,26), standardized=438x422
bingo_013.png: source=bingo_013.png, original=383x395, canvas_pos=(27,27), standardized=438x422
bingo_014.png: source=bingo_014.png, original=397x394, canvas_pos=(20,28), standardized=438x422
bingo_015.png: source=bingo_015.png, original=372x395, canvas_pos=(33,27), standardized=438x422
bingo_016.png: source=bingo_016.png, original=396x398, canvas_pos=(21,24), standardized=438x422
bingo_017.png: source=bingo_017.png, original=378x397, canvas_pos=(30,25), standardized=438x422
bingo_018.png: source=bingo_018.png, original=383x385, canvas_pos=(27,37), standardized=438x422
bingo_019.png: source=bingo_019.png, original=391x397, canvas_pos=(23,25), standardized=438x422
bingo_020.png: source=bingo_020.png, original=380x396, canvas_pos=(29,26), standardized=438x422
bingo_021.png: source=bingo_021.png, original=393x394, canvas_pos=(22,28), standardized=438x422
bingo_022.png: source=bingo_022.png, original=369x392, canvas_pos=(34,30), standardized=438x422
bingo_023.png: source=bingo_023.png, original=413x389, canvas_pos=(12,33), standardized=438x422
bingo_024.png: source=bingo_024.png, original=409x398, canvas_pos=(14,24), standardized=438x422
bingo_025.png: source=bingo_025.png, original=378x396, canvas_pos=(30,26), standardized=438x422
bingo_026.png: source=bingo_026.png, original=386x364, canvas_pos=(26,58), standardized=438x422
bingo_027.png: source=bingo_027.png, original=400x393, canvas_pos=(19,29), standardized=438x422
bingo_028.png: source=bingo_028.png, original=421x403, canvas_pos=(8,19), standardized=438x422
bingo_029.png: source=bingo_029.png, original=408x391, canvas_pos=(15,31), standardized=438x422
bingo_030.png: source=bingo_030.png, original=358x390, canvas_pos=(40,32), standardized=438x422
bingo_031.png: source=bingo_031.png, original=397x387, canvas_pos=(20,35), standardized=438x422
bingo_032.png: source=bingo_032.png, original=382x396, canvas_pos=(28,26), standardized=438x422
bingo_033.png: source=bingo_033.png, original=400x370, canvas_pos=(19,52), standardized=438x422
bingo_034.png: source=bingo_034.png, original=385x371, canvas_pos=(26,51), standardized=438x422
bingo_035.png: source=bingo_035.png, original=390x345, canvas_pos=(24,77), standardized=438x422
bingo_036.png: source=bingo_036.png, original=410x392, canvas_pos=(14,30), standardized=438x422
bingo_037.png: source=bingo_037.png, original=396x385, canvas_pos=(21,37), standardized=438x422
bingo_038.png: source=bingo_038.png, original=426x414, canvas_pos=(6,8), standardized=438x422
bingo_039.png: source=bingo_039.png, original=377x392, canvas_pos=(30,30), standardized=438x422
bingo_040.png: source=bingo_040.png, original=371x422, canvas_pos=(33,0), standardized=438x422
bingo_041.png: source=bingo_041.png, original=407x366, canvas_pos=(15,56), standardized=438x422
bingo_042.png: source=bingo_042.png, original=383x383, canvas_pos=(27,39), standardized=438x422
bingo_043.png: source=bingo_043.png, original=414x393, canvas_pos=(12,29), standardized=438x422
bingo_044.png: source=bingo_044.png, original=371x386, canvas_pos=(33,36), standardized=438x422
bingo_045.png: source=bingo_045.png, original=361x388, canvas_pos=(38,34), standardized=438x422
bingo_046.png: source=bingo_046.png, original=409x413, canvas_pos=(14,9), standardized=438x422
bingo_047.png: source=bingo_047.png, original=419x397, canvas_pos=(9,25), standardized=438x422
bingo_048.png: source=bingo_048.png, original=328x391, canvas_pos=(55,31), standardized=438x422
bingo_049.png: source=bingo_049.png, original=417x401, canvas_pos=(10,21), standardized=438x422
bingo_050.png: source=bingo_050.png, original=364x400, canvas_pos=(37,22), standardized=438x422
bingo_051.png: source=bingo_051.png, original=397x388, canvas_pos=(20,34), standardized=438x422
bingo_052.png: source=bingo_052.png, original=394x388, canvas_pos=(22,34), standardized=438x422
bingo_053.png: source=bingo_053.png, original=397x394, canvas_pos=(20,28), standardized=438x422
bingo_054.png: source=bingo_054.png, original=394x391, canvas_pos=(22,31), standardized=438x422
bingo_055.png: source=bingo_055.png, original=387x392, canvas_pos=(25,30), standardized=438x422
bingo_056.png: source=bingo_056.png, original=396x402, canvas_pos=(21,20), standardized=438x422
bingo_057.png: source=bingo_057.png, original=402x395, canvas_pos=(18,27), standardized=438x422
bingo_058.png: source=bingo_058.png, original=404x397, canvas_pos=(17,25), standardized=438x422
bingo_059.png: source=bingo_059.png, original=397x393, canvas_pos=(20,29), standardized=438x422
bingo_060.png: source=bingo_060.png, original=384x401, canvas_pos=(27,21), standardized=438x422
bingo_061.png: source=bingo_061.png, original=405x377, canvas_pos=(16,45), standardized=438x422
bingo_062.png: source=bingo_062.png, original=387x387, canvas_pos=(25,35), standardized=438x422
bingo_063.png: source=bingo_063.png, original=393x387, canvas_pos=(22,35), standardized=438x422
bingo_064.png: source=bingo_064.png, original=376x386, canvas_pos=(31,36), standardized=438x422
bingo_065.png: source=bingo_065.png, original=375x387, canvas_pos=(31,35), standardized=438x422
bingo_066.png: source=bingo_066.png, original=392x406, canvas_pos=(23,16), standardized=438x422
bingo_067.png: source=bingo_067.png, original=397x383, canvas_pos=(20,39), standardized=438x422
bingo_068.png: source=bingo_068.png, original=384x401, canvas_pos=(27,21), standardized=438x422
bingo_069.png: source=bingo_069.png, original=389x402, canvas_pos=(24,20), standardized=438x422
bingo_070.png: source=bingo_070.png, original=393x402, canvas_pos=(22,20), standardized=438x422
bingo_071.png: source=bingo_071.png, original=393x378, canvas_pos=(22,44), standardized=438x422
bingo_072.png: source=bingo_072.png, original=394x362, canvas_pos=(22,60), standardized=438x422
bingo_073.png: source=bingo_073.png, original=390x382, canvas_pos=(24,40), standardized=438x422
bingo_074.png: source=bingo_074.png, original=395x380, canvas_pos=(21,42), standardized=438x422
bingo_075.png: source=bingo_075.png, original=397x380, canvas_pos=(20,42), standardized=438x422
bingo_076.png: source=bingo_076.png, original=394x398, canvas_pos=(22,24), standardized=438x422
bingo_077.png: source=bingo_077.png, original=396x421, canvas_pos=(21,1), standardized=438x422
bingo_078.png: source=bingo_078.png, original=383x398, canvas_pos=(27,24), standardized=438x422
bingo_079.png: source=bingo_079.png, original=395x413, canvas_pos=(21,9), standardized=438x422
bingo_080.png: source=bingo_080.png, original=397x393, canvas_pos=(20,29), standardized=438x422
